record_id,canonical_id,source,provenance_sources,source_record_id,doi,pmid,pmcid,title,abstract,year,publication_date,document_type,language,url,is_preprint,duplicate_count,query_branches,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
doi:10.1002/advs.202502249,doi:10.1002/advs.202502249,europepmc,europepmc;openalex;pubmed;scopus;semantic_scholar,MED:40641410,10.1002/advs.202502249,40641410,PMC12499416,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,"Vascular smooth muscle cell (VSMC) senescence is a pivotal driver of atherosclerosis (AS), but molecular links to ageing-related dysfunction are unclear. It is aimed to identify regulators of VSMC senescence and develop clinical interventions for ageing-related AS. Using single-cell RNA sequencing of human atherosclerotic carotid arteries and immunofluorescence validation, activating transcription factor 3 (ATF3) is identified as central to VSMC senescence. Mechanistic studies employ SMC-specific ATF3 knockout mice, CUT&Tag-seq, RNA/protein interaction assays, and m6A epitranscriptomic analyses. To bridge discovery to therapy, high-throughput virtual screening is performed for ATF3-targeting compounds and functionally validated hits. ATF3 deficiency in VSMCs accelerates ageing-induced AS by promoting senescence. Multi-omics showed ATF3 activates ATG7, triggering autophagy, while cytoplasmic ATG7 enhances ATF3 nuclear translocation, establishing a positive feedback loop. Ageing increases m6A methylation and decreases the stability of Atf3 mRNA. Terazosin (TZ) diminishes the interaction between YTH N6-methyladenosine RNA binding protein F2 (YTHDF2) and Atf3 mRNA, helping to preserve Atf3 mRNA stability. TZ is a promising therapeutic strategy for delaying VSMC senescence and preventing AS. ATF3 protects against VSMC senescence and AS by orchestrating autophagy via a novel ATF3-ATG7 amplification loop. Repurposing TZ to stabilize ATF3 offers a translatable approach to combat ageing-driven cardiovascular disease.",2025,2025-07-11,research-article; Journal Article,eng,https://europepmc.org/article/MED/40641410,False,4,,True,True,True,True
doi:10.1002/gepi.22436,doi:10.1002/gepi.22436,europepmc,europepmc;pubmed;scopus,MED:34779012,10.1002/gepi.22436,34779012,PMC8887641,A large-scale transcriptome-wide association study (TWAS) of 10 blood cell phenotypes reveals complexities of TWAS fine-mapping.,"Hematological measures are important intermediate clinical phenotypes for many acute and chronic diseases and are highly heritable. Although genome-wide association studies (GWAS) have identified thousands of loci containing trait-associated variants, the causal genes underlying these associations are often uncertain. To better understand the underlying genetic regulatory mechanisms, we performed a transcriptome-wide association study (TWAS) to systematically investigate the association between genetically predicted gene expression and hematological measures in 54,542 Europeans from the Genetic Epidemiology Research on Aging cohort. We found 239 significant gene-trait associations with hematological measures; we replicated 71 associations at p < 0.05 in a TWAS meta-analysis consisting of up to 35,900 Europeans from the Women's Health Initiative, Atherosclerosis Risk in Communities Study, and BioMe Biobank. Additionally, we attempted to refine this list of candidate genes by performing conditional analyses, adjusting for individual variants previously associated with hematological measures, and performed further fine-mapping of TWAS loci. To facilitate interpretation of our findings, we designed an R Shiny application to interactively visualize our TWAS results by integrating them with additional genetic data sources (GWAS, TWAS from multiple reference panels, conditional analyses, known GWAS variants, etc.). Our results and application highlight frequently overlooked TWAS challenges and illustrate the complexity of TWAS fine-mapping.",2022,2021-11-15,"Meta-Analysis; Research Support, Non-U.S. Gov't; research-article; Journal Article; Research Support, N.I.H., Extramural",eng,https://europepmc.org/article/MED/34779012,False,2,,True,True,True,True
doi:10.1007/978-1-0716-0471-7_1,doi:10.1007/978-1-0716-0471-7_1,europepmc,europepmc;pubmed;scopus;semantic_scholar,MED:32219738,10.1007/978-1-0716-0471-7_1,32219738,,The Impact of New Biomarkers and Drug Targets on Age-Related Disorders.,"The increase in the human lifespan has not been paralleled by an increase in healthy life. With the increase in the proportion of the aged population, there has been a natural increase in the prevalence of age-related disorders, such as Alzheimer's disease, type 2 diabetes mellitus, frailty, and various other disorders. A continuous rise in these conditions could lead to a widespread medical and social burden. There are now considerable efforts underway to address these deficits in preclinical and clinical studies, which include the use of better study cohorts, longitudinal designs, improved translation of data from preclinical models, multi-omics profiling, identification of new biomarker candidates and refinement of computational tools and databases containing relevant information. Such efforts will support future interdisciplinary studies and help to identify potential new targets that are amenable to therapeutic approaches such as pharmacological interventions to increase the human healthspan in parallel with the lifespan.",2020,2020-01-01,Review; Journal Article,eng,https://europepmc.org/article/MED/32219738,False,3,,True,True,True,True
doi:10.1007/s11033-026-12231-w,doi:10.1007/s11033-026-12231-w,europepmc,europepmc;pubmed;scopus,MED:42364025,10.1007/s11033-026-12231-w,42364025,,Combined metformin and Taurine attenuate age-related bone loss.,"Background Age-related bone loss is closely associated with functional decline and exhaustion of bone marrow mesenchymal stem cells (BMSCs). This study aimed to investigate whether combined Metformin and Taurine (Met + Ta) treatment could attenuate aging-associated skeletal deterioration and preserve BMSC function. Methods Eighteen-month-old male C57BL/6J mice were treated with Met, Ta, or Met + Ta for 8 consecutive weeks. Bone microarchitecture was evaluated by micro-computed tomography and histological staining. BMSCs were isolated from aged mice and assessed for osteogenic differentiation, proliferative capacity, senescence-related changes, and inflammatory cytokine production. Transcriptomic analysis was performed to identify molecular changes associated with Met + Ta treatment, and siRNA-mediated Crebrf knockdown was used for functional validation. Results Met + Ta treatment improved bone mass and trabecular microarchitecture more effectively than either single treatment. Histological staining further showed better preservation of trabecular structure and increased collagen-rich matrix deposition in the Met + Ta group. BMSCs from Met + Ta-treated mice exhibited enhanced osteogenic differentiation, increased proliferative activity, reduced senescence-associated phenotypes, and improved inflammatory homeostasis. Transcriptomic analysis revealed coordinated regulation of genes involved in proliferation, senescence, metabolism, proteostasis, and genome maintenance. Crebrf was identified as a candidate regulatory mediator, and Crebrf knockdown attenuated the anti-senescent and cellular-stability-related effects of Met + Ta in BMSCs. Conclusions Combined Met and Ta treatment alleviates age-related bone loss and preserves BMSC function more effectively than single-agent treatment. These findings suggest that Met + Ta may represent a potential combined strategy for delaying skeletal aging, with Crebrf serving as a candidate mediator of its protective effects.",2026,2026-06-27,Journal Article,eng,https://europepmc.org/article/MED/42364025,False,2,,True,True,True,True
doi:10.1016/b978-0-12-809356-6.00021-6,doi:10.1016/b978-0-12-809356-6.00021-6,semantic_scholar,semantic_scholar,54408f71087aee195a98312581a8074f44a47940,10.1016/b978-0-12-809356-6.00021-6,,,Molecular systems in inflammatory bowel disease,"Abstract Ulcerative colitis (UC) and Crohn’s disease (CD) are chronic inflammatory diseases of the intestine, which can begin at any age, even in children. Both diseases are commonly known as inflammatory bowel diseases (IBDs). They represent a major challenge, because their causation is unclear, and though there have been significant advances in medical treatment, it is still far from satisfactory, and many patients require major surgery. The clinical phenotype of the patients that respond to treatment compared to those that do not respond can be very similar prior to treatment, and therefore the need for biomarkers is to differentiate between these groups. The genomic portrait of IBD was built with the high-resolution detection of loci that individually have a very modest influence. There is evidence for over 200 distinct genetic loci; however, they are not associated with prognosis. More specifically, there are at least 30 distinct loci that are associated with the phenotype of CD, and 23 loci with UC. Moreover, the boundaries between CD and UC are blurred by the larger proportion of loci that are shared. There are also parallels and paradoxes vis-a-vis other diseases, such as inflammatory, autoimmune, infectious, and primary immunodeficiencies. The IBD-associated variants within the genes, such as NOD2, IL23R, ATG16L1, and CARD9, have the potential to adversely affect innate and adaptive immunity, as well as mucosal barrier integrity and autophagy. The functional insights have largely been derived from reductive approaches, such cell culture and animal models. Unusually severe perturbations of the biology have also been observed in exceedingly rare cases of the monogenic forms of the disease. The molecular systems approach is poised to transform our holistic perception of the polygenic interactions by integrating the multiomic approaches rather than deconstruct the biology albeit the one-dimensional view. New methodologies for mathematical modeling and the exponential increase in computational power have made the integrative approaches of molecular systems biology feasible. The unprecedented scale of the massive data combined with the discovery of new IBD-associated biomarkers is envisioned for prediction, prognosis, and the diagnosis of individuals that are susceptible. The new insights from unraveling the multitude of disease mechanisms are prerequisite for novel, personalized therapeutic strategies.",2020,,,,https://www.semanticscholar.org/paper/54408f71087aee195a98312581a8074f44a47940,False,0,,True,False,True,False
doi:10.1016/j.biopsych.2024.04.016,doi:10.1016/j.biopsych.2024.04.016,openalex,openalex,https://openalex.org/W4396609669,10.1016/j.biopsych.2024.04.016,,,"Circulating Metabolite Abundances Associated With Risks of Bipolar Disorder, Schizophrenia, and Depression: A Mendelian Randomization Study","BACKGROUND: Preventive measures and treatments for psychiatric disorders are limited. Circulating metabolites are potential candidates for biomarker and therapeutic target identification, given their measurability and essential roles in biological processes. METHODS: Leveraging large-scale genome-wide association studies, we conducted Mendelian randomization analyses to assess the associations between circulating metabolite abundances and the risks of bipolar disorder, schizophrenia, and depression. Genetic instruments were selected for 94 metabolites measured in the Canadian Longitudinal Study on Aging cohort (N = 8299). We repeated Mendelian randomization analyses based on the UK Biobank, INTERVAL, and EPIC (European Prospective Investigation into Cancer)-Norfolk studies. RESULTS: After validating Mendelian randomization assumptions and colocalization evidence, we found that a 1 SD increase in genetically predicted circulating abundances of eicosapentaenoate and docosapentaenoate was associated with odds ratios of 0.72 (95% CI, 0.65-0.79) and 0.63 (95% CI, 0.55-0.72), respectively, for bipolar disorder. Genetically increased Ω-3 unsaturated fatty acids abundance and Ω-3-to-total fatty acids ratio, as well as genetically decreased Ω-6-to-Ω-3 ratio, were negatively associated with the risk of bipolar disorder in the UK Biobank. Genetically increased circulating abundances of 3 N-acetyl-amino acids were associated with an increased risk of schizophrenia with a maximum odds ratio of 1.31 (95% CI, 1.18-1.44) per 1 SD increase. Furthermore, a 1 SD increase in genetically predicted circulating abundance of hypotaurine was associated with an odds ratio of 0.85 (95% CI, 0.78-0.93) for depression. CONCLUSIONS: The biological mechanisms that underlie Ω-3 unsaturated fatty acids, NAT8-catalyzed N-acetyl-amino acids, and hypotaurine warrant exploration to identify new biomarkers and potential therapeutic targets.",2024,2024-05-03,article,en,https://openalex.org/W4396609669,False,0,genomics_plus_other,True,True,True,True
doi:10.1016/j.drup.2026.101415,doi:10.1016/j.drup.2026.101415,europepmc,europepmc;pubmed;scopus;semantic_scholar,MED:42284685,10.1016/j.drup.2026.101415,42284685,,The RELA-FTH1 axis in senescent cancer-associated fibroblasts creates a stromal iron sink that drives ferroptosis resistance and therapy failure across solid malignant tumors.,"Background Therapy resistance remains the foremost barrier to improving outcomes in solid malignancies. While tumor-cell-intrinsic resistance mechanisms have been extensively studied, the contribution of the tumor microenvironment (TME) to treatment failure is poorly understood. Cellular senescence accumulates across diverse solid tumor types and reshapes the stromal landscape, yet which population dominates this senescent compartment and how senescent cancer-associated fibroblasts (senCAFs) drive resistance remain unresolved. In particular, whether senescent fibroblasts can suppress ferroptosis in neighboring tumor cells-and thereby promote drug resistance-through metabolic reprogramming of iron homeostasis has not been mechanistically dissected. Methods We integrated six single-cell RNA sequencing datasets (431,513 cells) to map the senescent landscape of the TME. A 24-gene prognostic senescent fibroblast signature was constructed using LASSO/Cox regression and validated in independent TCGA cohorts. Transcription factor prediction and protein-DNA molecular docking identified upstream regulators. Functional studies employed conditioned medium assays, transwell co-culture systems with ferroptosis induction and chemosensitivity testing, FerroOrange-based intracellular Fe²⁺ quantification, genetic perturbation (shRNA/siRNA), pharmacological NF-κB inhibition, and subcutaneous xenograft models. Spatial transcriptomics validated findings in cancer tissues. Pan-cancer analyses across 31 solid malignant tumor types were performed using GEPIA 2 to assess cross-cancer generalizability. Results SenCAFs constituted the predominant senescent compartment in the TME, significantly promoting tumor cell proliferation, migration, invasion, and in vivo tumor growth. Multi-omics screening prioritized ferritin heavy chain 1 (FTH1) as the critical effector. Mechanistically, senCAFs upregulated FTH1 to create a stromal iron sink, sequestering microenvironmental Fe 2 + , shielding tumor cells from ferroptosis. Disruption of this stromal iron sink by FTH1 silencing not only restored ferroptosis sensitivity but also resensitized tumor cells to cisplatin-induced apoptosis. This iron sink was transcriptionally driven by RELA; targeting RELA abolished FTH1 expression and the senescence phenotype. Spatial transcriptomics validated the FTH1-senCAF-NF-κB axis in situ. Critically, pan-solid tumor analysis also confirmed that upregulation of the RELA-FTH1 axis was associated with poor prognosis and positively correlated with ferroptosis resistance and multiple drug resistance pathways across 31 solid malignancies. Conclusions SenCAFs drive therapy resistance by establishing a RELA-FTH1-dependent stromal iron sink. This axis serves as a pan-cancer prognostic and drug resistance biomarker and represents a druggable stromal vulnerability, suggesting that its disruption may resensitize resistant solid malignant tumors to ferroptosis and chemotherapy.",2026,2026-06-01,Journal Article,eng,https://europepmc.org/article/MED/42284685,False,3,,True,True,True,True
doi:10.1016/j.freeradbiomed.2026.07.006,doi:10.1016/j.freeradbiomed.2026.07.006,europepmc,europepmc;pubmed;scopus;semantic_scholar,MED:42392282,10.1016/j.freeradbiomed.2026.07.006,42392282,,Frataxin attenuates endothelial inflammation triggered by engulfment of senescent erythrocytes.,"Background Hypertension is linked to a shortened erythrocyte lifespan, with endothelial cells acting as non-professional phagocytes to clear senescent erythrocytes. However, whether increased erythrophagocytosis contributes to endothelial inflammation remains unclear. Frataxin (FXN) plays a crucial role in controlling iron balance and metabolism. This study investigated the role of FXN-mediated iron engulfment in regulating endothelial pro-inflammatory phenotype. Methods Hypertensive models were established by infusing angiotensin II (Ang II) into endothelial cell-specific Fxn knockout mice for 14 days. Erythrocyte senescence was evaluated using scanning electron microscopy and metabolomics. Endothelial erythrophagocytosis and inflammation were assessed via immunofluorescence staining. Integrated proteomics along with surface plasmon resonance (SPR) analyses were employed to identify key proteins and protein-protein interactions during erythrophagocytosis. Results Erythrocytes from Ang II-infused mice displayed signs of senescence, including swelling and acanthocytic morphology. Metabolomics revealed a progressive metabolic decline in erythrocytes. Endothelial cells efficiently cleared senescent erythrocytes, while proteomics identified decreased FXN and increased thioredoxin-interacting protein (TXNIP) protein levels. Although FXN function did not affect phagocytosis efficiency, its absence led to mitochondrial iron overload, elevated lipid peroxides, and activation of the TXNIP/NLR family pyrin domain-containing 3 (NLRP3) inflammasome both in vivo and in vitro. Molecular docking showed FXN interacts with the thioredoxin-2 (TRX2)/TXNIP redoxisome, forming a trimeric complex. FXN acetylation at Lys-192 (FXN K192 ) caused TXNIP dissociation from oxidized TRX2, liberating TXNIP for NLRP3 activation. Furthermore, Fxn acetylation-deficient mice exhibited reduced endothelial oxidative stress and inflammation. Conclusions Excessive endothelial erythrophagocytosis triggers NLRP3 inflammasome activation by destabilizing the FXN/TRX2/TXNIP complex.",2026,2026-07-02,Journal Article,eng,https://europepmc.org/article/MED/42392282,False,3,,True,True,True,True
doi:10.1016/j.jcmgh.2017.10.005,doi:10.1016/j.jcmgh.2017.10.005,semantic_scholar,semantic_scholar,e9297deca888f42d8fc7ce00e03de59634f3f4d1,10.1016/j.jcmgh.2017.10.005,29276752,5736879,A Molecular Signature of Mouse NASH: A Step Closer to a Human Predictive Biomarker?,"ibrosis is the single best predictor of clinical outFcomes in patients with nonalcoholic steatohepatitis (NASH). Advanced fibrosis portends liver-related mortality and determines the need for liver transplantation. Current diagnostic tools assess the presence of hepatic fibrosis but do not predict its development in patients at risk. Risk stratification based on propensity for liver fibrosis is a key factor for the selection of patients who benefit from close follow-up evaluation and medical therapy once approved. Liver biopsy remains the gold standard for fibrosis detection and staging but is invasive, and has the potential for sampling error. Radiologic assessment of liver stiffness has gained credibility over the past decade as a diagnostic and staging tool for liver fibrosis with magnetic resonance and vibration transient elastography. Simple predictive model of fibrosis including the aspartate aminotransferase–to-platelet ratio index), fibrosis-4 (age, platelet count, alanine aminotransferase, and aspartate aminotransferase), nonalcoholic fatty liver disease fibrosis score, and serologic panels of combined biomarkers to predict the presence of fibrosis has been established. These noninvasive tools have been reviewed thoroughly elsewhere and overall have moderate accuracy in identifying patients with fibrosis stage 2 or greater on the Metavir scale, but good accuracy in excluding advanced fibrosis, and could be used to identify individuals at low risk for advanced disease. Notably, all of these tests have been developed with liver biopsy staged fibrosis as the reference standard. Therefore, by definition, these tests do not discriminate those who are at risk for fibrosis development from those who are not. In this issue of Cellular and Molecular Gastroenterology and Hepatology, in an effort to establish a molecular signature of fibrosis, van Koppen et al performed an integrated transcriptomic and proteomic analysis of gene expression and protein turnover in a murine model of NASH over time. RNA sequencing of whole-liver mRNA in high-fat diet (HFD)-fed, low-density lipoprotein receptor knockout mice identified that the key categories of signaling pathways up-regulated in this model are lipid metabolism, inflammation, oxidative stress, and fibrosis/extracellular matrix (ECM). Over the time-resolved evolution of NASH, lipid metabolic pathways were the most up-regulated at week 6 (14 of 24 pathways). At this early time point, neither inflammation nor matrix remodeling were significantly induced. However, by 12 weeks of feeding there was increasing representation of inflammation (12 of 24 pathways), and by 18 weeks there was the appearance of matrix remodeling (2 of 24 pathways). Interestingly, using deuterated water to label newly formed protein ECM",2017,2017-11-10,Editorial; Review,,https://www.semanticscholar.org/paper/e9297deca888f42d8fc7ce00e03de59634f3f4d1,False,0,,True,False,True,False
doi:10.1016/j.metabol.2023.155528,doi:10.1016/j.metabol.2023.155528,europepmc,europepmc;pubmed;scopus,MED:36842611,10.1016/j.metabol.2023.155528,36842611,,Targeting FABP4 in elderly mice rejuvenates liver metabolism and ameliorates aging-associated metabolic disorders.,"Introduction Aging is characterized by progressive metabolic dyshomeostasis that increases morbidity and mortality. Solutions for optimizing healthy aging are challenged by lacking appropriate biomarkers. Moreover, druggable targets to rejuvenate the aging-associated metabolic phenotypes remain unavailable. Methods Proteomics analysis was performed in a cohort of young and elderly adults. Circulating levels of insulin-like growth factor 1 (IGF-1) and fatty acid binding protein 4 (FABP4) were evaluated by ELISA. FABP4 was silenced in elderly mice by adeno-associated virus. Metabolic activities were measured by metabolic cages. Cognitive function was evaluated by Morris water maze. Glucose and lipid metabolism were evaluated by biochemistry assays with blood samples. RNA-seq in mouse liver was performed for transcriptome analysis. Results Among 9 aging-sensitive proteins shared by both male and female, FABP4 was identified as a reliable aging biomarker in both human and mouse. Silencing FABP4 in elderly mice significantly rejuvenated the aging-associated decline in metabolic activities. FABP4 knockdown reversed the aging-associated metabolic disorders by promoting degradation of cholesterol and fatty acids, while suppressing gluconeogenesis. Transcriptome analysis revealed a restoration of the pro-aging gene reprogramming towards inflammation and metabolic disorders in the liver after FABP4 knockdown. FABP4 overexpression promoted human LO2 cell senescence. Moreover, administration of an FABP4 inhibitor BMS309403 delivered metabolic benefits in elderly mice. Conclusion Our findings demonstrate FABP4 as a reliable aging biomarker as well as a practicable target to improve healthy aging in the elderly.",2023,2023-02-25,"Research Support, Non-U.S. Gov't; Journal Article",eng,https://europepmc.org/article/MED/36842611,False,2,,True,True,True,True
