record_id,source,title,abstract,year,document_type,doi,proposed_design_family
doi:10.1007/s12031-025-02314-x,europepmc,Identification of Therapeutic Targets for Premature Ovarian Failure Through Mendelian Randomization and Colocalization Analysis Using Human Plasma Proteomics.,"Premature ovarian failure (POF) accelerates ovarian aging, leading to menstrual irregularities, reduced fertility, and decreased estrogen levels. Current hormone replacement therapy (HRT) cannot reverse the aging effects, highlighting the need for more targeted treatments. Genome-wide association studies (GWAS) and protein quantitative trait loci (pQTL) analyses can identify genetic variants and protein level changes associated with POF. Mendelian randomization (MR) evaluates the causal relationships between genetic variants and POF. pQTL analysis was conducted using plasma proteomics data from 54,219 participants and baseline cohort data of 34,557 individuals of European ancestry from the UK Biobank. GWAS data comprising 542 POF cases and 218,970 controls were obtained from the FinnGen database. MR analysis utilized inverse variance weighted (IVW), MR Egger, weighted median, and weighted mode methods. Colocalization analysis was performed using the ""coloc"" R package, and pathway enrichment analysis was conducted using the ""clusterProfiler"" package. Additionally, reverse MR analysis, molecular docking predictions, and summary data-based Mendelian randomization (SMR) analysis were performed. Finally, based on the scRNA-seq data of POF, analyses such as cell type annotation, gene set scoring, and cell-cell communication were performed. MR analysis identified significant causal relationships between specific proteins (BSG, CCL23, CTSC, FAP, IGSF21, LCN15, LILRB2, MUC16, PTN, SPINK1, TNFRSF1B, TNFRSF8, TNXB, and YJU2) and POF. Colocalization analysis indicated that key proteins (BSG, CCL23, FAP, and TNXB) share causal variants with POF traits. SMR analysis confirmed TNXB as a risk factor for POF. Finally, using the scRNA-seq data of POF, the expression of key gene sets was used to evaluate the scoring of different cell populations. Cell-cell communication analysis identified multiple communication pathways between high-scoring cell populations and other cell groups. The expression trend of key proteins was further verified by western blot assay. These findings are preliminary and require significant validation before clinical application. Combining pQTL and GWAS data, MR and colocalization analyses identified key proteins and genetic variants associated with POF, providing deeper insights into POF mechanisms and potential therapeutic targets.",2025,Journal Article,10.1007/s12031-025-02314-x,genetic_instrument
doi:10.1016/j.jad.2025.119471,europepmc,Systematic Mendelian randomization of the human plasma proteome to identify therapeutic targets linking aging and frailty to perioperative delirium.,"Background Perioperative delirium is a growing concern in the aging population, posing significant risks to frail elderly patients. While frailty is associated with delirium, the underlying mechanisms remain unclear. Methods We conducted an analysis of data derived from 3788 plasma proteins in a protein quantitative trait locus (pQTL) study encompassing 4709 participants. Utilizing Mendelian randomization (MR) in conjunction with genome-wide association study (GWAS) data, we identified proteins that exhibit significant associations with delirium. Additionally, we investigated the bidirectional relationship between delirium and aging-related indicators, such as the frailty index (FI), Intrinsic Epigenetic Age Acceleration (IEAA), PhenoAge, and life expectancy. This was achieved through mediation analysis and Bayesian colocalization to assess the intermediary effects of these indicators. Finally, we assessed the therapeutic potential of the identified proteins via molecular docking studies. Results MR analysis revealed causal relationships between delirium and several aging-related indicators, including FI, IEAA, PhenoAge, and life expectancy. Eleven proteins were causally associated with delirium. Mediation analysis showed that the effects of HIBCH and IMPAD1 on delirium were mediated by PhenoAge, while IEAA mediated the effect of MICB. MST1's effect on delirium was mediated by FI and life expectancy. Bayesian colocalization confirmed strong associations between HIBCH, MST1, and delirium. Molecular docking studies indicated that MST1 and HIBCH exhibited low binding energies with midazolam and dexmedetomidine, suggesting their potential as therapeutic targets. Conclusion HIBCH and MST1 are key players in delirium pathophysiology and represent promising therapeutic candidates. Their involvement in delirium warrants further investigation in clinical research.",2025,Journal Article,10.1016/j.jad.2025.119471,genetic_instrument
doi:10.1038/s41467-024-52310-9,europepmc,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank.","The metabolomic profile of aging is complex. Here, we analyse 325 nuclear magnetic resonance (NMR) biomarkers from 250,341 UK Biobank participants, identifying 54 representative aging-related biomarkers associated with all-cause mortality. We conduct genome-wide association studies (GWAS) for these 325 biomarkers using whole-genome sequencing (WGS) data from 95,372 individuals and perform multivariable Mendelian randomization (MVMR) analyses, discovering 439 candidate ""biomarker - disease"" causal pairs at the nominal significance level. We develop a metabolomic aging score that outperforms other aging metrics in predicting short-term mortality risk and exhibits strong potential for discriminating aging-accelerated populations and improving disease risk prediction. A longitudinal analysis of 13,263 individuals enables us to calculate a metabolomic aging rate which provides more refined aging assessments and to identify candidate anti-aging and pro-aging NMR biomarkers. Taken together, our study has presented a comprehensive aging-related metabolomic profile and highlighted its potential for personalized aging monitoring and early disease intervention.",2024,"Research Support, Non-U.S. Gov't; research-article; Journal Article",10.1038/s41467-024-52310-9,genetic_instrument
doi:10.1038/s41598-024-72281-7,europepmc,Proteomic Mendelian randomization to identify protein biomarkers of telomere length.,"Shortening of telomere length (TL) is correlated with many age-related disorders and is a hallmark of biological aging. This study used proteome-wide Mendelian randomization to identify the protein biomarkers associated with telomere length. Protein quantitative trait loci (pQTL) were derived from two studies, the deCODE Health study (4907 plasma proteins) and the UK Biobank Pharma Proteomics Project (2923 plasma proteins). Summary data from genome-wide association studies (GWAS) for TL were obtained from the UK Biobank (472,174 cases) and GWAS Catalog (418,401 cases). The association between proteins and TL was further assessed using colocalization and summary data-based Mendelian randomization (SMR) analyses. The protein-protein network, druggability assessment, and phenome-wide MR were used to further evaluate the potential biological effects, druggability, and safety of the target proteins. Proteome-wide MR analysis identified 22 plasma proteins that were causally associated with telomere length. Five of these proteins (APOE, SPRED2, MAX, RALY, and PSMB1) had the highest evidence of association with TL and should be prioritized. This study revealed telomere length-related protein biomarkers, providing new insights into the development of new treatment targets for chronic diseases and anti-aging intervention strategies.",2024,research-article; Journal Article,10.1038/s41598-024-72281-7,genetic_instrument
doi:10.1101/2020.07.06.20147520,europepmc,A Trans-Omic Mendelian Randomization Study of Parental Lifespan Uncovers Novel Aging Biology and Drug Candidates for Human Healthspan Extension,"The study of parental lifespan has emerged as an innovative tool to advance aging biology and our understanding of the genetic architecture of human longevity and healthspan. Here, we leveraged summary statistics of a genome-wide association study including over one million parental lifespans to identify genetically regulated genes from the Genotype-Tissue Expression project through a combination of multi-tissue transcriptome-wide association analyses and genetic colocalization. Mendelian randomization (MR) analyses also identified circulating proteins and metabolites causally associated with parental lifespan that may offer new drug repositioning opportunities for healthspan such as drugs targeting apolipoprotein-B-containing lipoproteins. Liver expression of HP, the gene encoding haptoglobin, and plasma haptoglobin levels were causally linked with parental lifespan. Phenome-wide MR analyses were used to map genetically regulated genes, proteins and metabolites with the disease-related phenome in the UK Biobank and FinnGen. Altogether, this study identified novel biological determinants of aging and potential therapeutic targets for human healthspan extension.",2020,Preprint,10.1101/2020.07.06.20147520,genetic_instrument
doi:10.1111/acel.70498,europepmc,Multi-Omics Reveals Mechanisms of Metabolic Rejuvenation in Aged Mice and Pre-Frail Older Men by Losartan.,"Aging is associated with significant alterations in systemic metabolism across species. We employed targeted metabolomics to investigate the effects of losartan, an angiotensin II receptor blocker, on the serum metabolome of aged mice and pre-frail older men. Losartan treatment resulted in a shift in serum metabolome aging signature to a more youthful state. This rejuvenation effect appears to be contingent on the presence of functional angiotensin II receptors, with receptor knockout mice showing no rejuvenation effect with treatment. Additionally, we observed a similar rejuvenation effect of losartan in the cardiac proteome of aged mice, with the most pronounced changes occurring in proteins involved in oxidative phosphorylation. While our study did not encompass a full lifespan analysis, in alignment with previous reports of lifespan extension in other models, we noted a statistically significant improvement in survival among geriatric mice treated with losartan. In parallel, we analyzed serum metabolomics data from pre-frail older men from a phase 2 randomized placebo-controlled trial of losartan, which indicated a dose-dependent metabolic rejuvenation effect. Correlation network analysis revealed divergent aging effects between species, with mice exhibiting broad decreases in metabolite concentrations and humans showing increases, particularly across lipid species. Principal component analysis further highlighted a global shift in metabolite levels, potentially linked to changes in lipoprotein metabolism, plasma volume, and amino acid metabolism with age. In summary, our results suggest that losartan can partially reverse age-related metabolomic changes in both male mice and humans, with distinct species-specific responses.",2026,research-article; Journal Article,10.1111/acel.70498,direct_perturbation
doi:10.1186/s12967-024-05823-2,europepmc,Mendelian randomization analyses support causal relationships between gut microbiome and longevity.,"Background Gut microbiome plays a significant role in longevity, and dysbiosis is indeed one of the hallmarks of aging. However, the causal relationship between gut microbiota and human longevity or aging remains elusive. Methods Our study assessed the causal relationships between gut microbiome and longevity using Mendelian Randomization (MR). Summary statistics for the gut microbiome were obtained from four genome-wide association study (GWAS) meta-analysis of the MiBioGen consortium (N = 18,340), Dutch Microbiome Project (N = 7738), German individuals (N = 8956), and Finland individuals (N = 5959). Summary statistics for Longevity were obtained from Five GWAS meta-analysis, including Human healthspan (N = 300,447), Longevity (N = 36,745), Lifespans (N = 1,012,240), Parental longevity (N = 389,166), and Frailty (one of the primary aging-linked physiological hallmarks, N = 175,226). Results Our findings reveal several noteworthy associations, including a negative correlation between Bacteroides massiliensis and longevity, whereas the genus Subdoligranulum and Alistipes, as well as species Alistipes senegalensis and Alistipes shahii, exhibited positive associations with specific longevity traits. Moreover, the microbial pathway of coenzyme A biosynthesis I, pyruvate fermentation to acetate and lactate II, and pentose phosphate pathway exhibited positive associations with two or more traits linked to longevity. Conversely, the TCA cycle VIII (helicobacter) pathway consistently demonstrated a negative correlation with lifespan and parental longevity. Conclusions Our findings of this MR study indicated many significant associations between gut microbiome and longevity. These microbial taxa and pathways may potentially play a protective role in promoting longevity or have a suppressive effect on lifespan.",2024,"Research Support, Non-U.S. Gov't; research-article; Journal Article",10.1186/s12967-024-05823-2,genetic_instrument
doi:10.14336/ad.2026.0356,europepmc,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.,"Aging is increasingly viewed as a pathological process and a principal driver of diverse age-related diseases (ARDs). Framing aging as a disease offers an opportunity to identify therapeutic targets capable of modifying multiple chronic disorders simultaneously. Here, we developed an artificial intelligence (AI)-driven target discovery framework that integrates large-scale multi-omic datasets to prioritize therapeutic targets shared between aging and 12 ARDs spanning four major disease areas: neurological, inflammatory, metabolic, and fibrotic disorders. We identified 29 high-confidence and 16 previously unrecognized aging-associated targets implicated across the selected disease areas, together with convergent pathway perturbations characterized by robust upregulation of interferon and inflammatory signaling, alongside coordinated downregulation of MYC-driven proliferative programs, consistent with heightened inflammatory activation and reduced anabolic activity during aging. Age-dependent transcriptomic alterations across tissues were observed for all identified target genes. Hallmarks of aging assessment revealed chronic inflammation as the most enriched hallmark across aging and ARDs. Mendelian randomization analyses provided genetic causal support for IL6, IL6R, NLRP3, NOS2, TLR4, and GLP1R in aging-related traits and multiple ARDs, highlighting potential opportunities for drug repurposing. Co-localization analyses suggested that the same genetic variants influencing IL6R expression are also associated with parental survival, a proxy for human lifespan, supporting a role for IL-6 signaling in longevity, and indicated a shared genetic signal at the NOS2 locus associated with rheumatoid arthritis risk. Together, our findings outline a scalable AI-guided multi-omic framework for identifying causal and repurposable therapeutic targets for aging and ARDs.",2026,Journal Article,10.14336/ad.2026.0356,genetic_instrument
doi:10.2147/ccid.s598554,europepmc,"Deciphering the Causal Links Among Metabolomics, Ageing Phenotypes, and Pathological Scars: A Two-Sample Mendelian Randomization Study.","Background Hypertrophic scars (HS) and keloids represent pathological outcomes following cutaneous injury, characterized by complex pathogenesis and suboptimal therapeutic outcomes. The interplay between metabolomics and ageing may offer novel intervention targets for scar formation. Objective This study aimed to systematically investigate the causal relationships between blood metabolites, ageing phenotypes (telomere length, epigenetic age), and HS/keloids through Two-sample Mendelian randomization (MR) and Two-step Mediation MR analysis. Methods We integrated large-scale GWAS data from European populations, including 1400 blood metabolites (n=8299), telomere length (n=438,351), epigenetic age (n=41,000), HS (2068 cases/465,673 controls), and keloids (4086 cases/1,278,496 controls). Two-sample MR analysis was performed using inverse-variance weighted (IVW) and Wald ratio methods. Steiger's, Cochrane's Q, and MR-Egger tests were applied to exclude reverse causality, heterogeneity, and pleiotropy. Mediation effects of ageing phenotypes were quantified. Results The study identified 30 metabolites significantly associated with HS and 49 with keloids. Among ageing phenotypes, telomere length showed positive correlations with both scar types, whereas PhenoAge exhibited negative correlations. Key metabolites such as Eugenol sulfate and Phenylacetylglutamate regulated scar formation through dual pathways involving telomere length and PhenoAge. Conclusion This study elucidated the causal metabolite-ageing-scar network through genetic evidence, identifying multiple potential therapeutic targets, including Eugenol sulfate and Phenylacetylglutamate. These findings establish a robust foundation for developing targeted metabolic interventions.",2026,research-article; Journal Article,10.2147/ccid.s598554,genetic_instrument
doi:10.7150/ijbs.128631,pubmed,VDR-Spermidine Axis Protects Against Age-Related Granulosa Cell Dysfunction and Follicular Decline via DNMTs-Mediated p53 Methylation.,"Ovarian aging, marked by a decline in follicle quantity and quality, is a complex process whose underlying mechanisms remain elusive. Here, we identify the vitamin D receptor (Vdr) as a key anti-aging transcription factor whose expression in granulosa cells (GCs) declines with age. Using GCs-specific Vdr knockout (cVKO) mice and a Vdr -knockout (VKO) human granulosa-like cell line, we demonstrate that loss of Vdr triggers GCs aging and disrupts ovarian function. Integrated transcriptomic and metabolomic analyses from VKO and WT cells revealed that Vdr loss downregulates the de novo spermidine (SPD) biosynthesis by directly suppressing the transcription of ornithine decarboxylase ( ODC1 ). This led to SPD depletion, which in turn inhibited DNA methyltransferase (DNMTs) activity, resulting in hypomethylation of the p53 promoter and activation of the p53/p21 pathway. Crucially, supplementation with either SPD or its upstream methyl donor S-adenosylmethionine (SAM) rescued cVKO and VKO cell aging, improved hormonal profiles and promoted follicular development in cVKO mice. Furthermore, both supplements effectively delayed ovarian aging and improved fertility in naturally aged mice. Our study unveils the Vdr-spermidine-DNMTs axis as a fundamental mechanism safeguarding against ovarian aging, highlighting SPD and SAM as promising therapeutic agents for age-related female infertility.",2026,Journal Article,10.7150/ijbs.128631,direct_perturbation
