record_id,source,title,abstract,year,document_type,doi,proposed_design_family
doi:10.1007/s40520-024-02877-6,europepmc,Gut microbiota and epigenetic age acceleration: a bi-directional Mendelian randomization study.,"Background The gut microbiota is closely related to aging, but the genetic relationship between gut microbiota and aging has not been well investigated. The aim of the study was to explore the association of microbiota with epigenetic age acceleration (EAA) using the Mendelian randomization. Method The independent genetic instruments of gut microbiota were obtained from MiBioGen consortium and the Dutch Microbiome Project. EAA data were derived from genome-wide association study. To assess the causal relationship between gut microbiota and EAA, we applied four different methods of Mendelian Randomization (MR) analysis: the inverse variance weighted method (IVW), the MR-Egger regression, the weighted median analysis (WMA), and the weighted mode. Furthermore, sensitivity analyses were conducted to evaluate heterogeneity and horizontal pleiotropy. Results We identified potential causal associations between 12 bacterial taxa and EAA (P IVW and P WMA IVW and P WMA Conclusion Our study implicates the potential causal effects of specific microbiota on EAA, potentially providing novel insights into the prevention aging through specific gut microbiota.",2024,research-article; Journal Article,10.1007/s40520-024-02877-6,genetic_instrument
doi:10.1016/j.jhazmat.2025.140429,europepmc,Integrative epidemiological and spatial multi-omics analyses reveal SPP1⁺ macrophages with senescence-like features as key mediators linking NO₂ exposure to coronary heart disease.,"This study investigates the environmental health impact of ambient nitrogen dioxide (NO₂), a major traffic-related pollutant, on coronary heart disease (CHD) risk through biological aging. We analyzed 17,412 individuals in Tianjin, China, including 13,886 CHD patients and 3526 controls. PM₂.₅, PM₁₀, NO₂, and O₃ exposures were categorized into tertiles based on real-world concentrations. Biological aging was assessed using KDMAge and PhenoAge. Higher NO₂ exposure was significantly associated with increased CHD risk and accelerated aging, and elevated PhenoAge was linked to greater CHD susceptibility. Mediation analysis revealed that biological aging, particularly PhenoAge, accounted for up to 45.6 % of the association between NO₂ and CHD. To strengthen causal inference and minimize residual confounding, we applied propensity score matching (PSM) to balance baseline characteristics across exposure groups, and conducted Mendelian randomization (MR) using NO₂-associated genetic instruments. Both analyses consistently supported a potential causal effect of NO₂ exposure on CHD risk, partially mediated by accelerated biological aging. Validation using the China Health and Retirement Longitudinal Study (CHARLS) confirmed these associations. Multi-omics analyses of human atherosclerotic plaques-including bulk, single-cell, and spatial transcriptomics-identified SPP1⁺ macrophages as NO₂-responsive senescent cells enriched in inflamed, hypoxic plaque regions, showing heightened aging and inflammatory signatures. Spatial mapping further revealed co-localization of high NO₂ gene scores with SPP1⁺ macrophage clusters. By integrating large-scale epidemiological data, causal inference methods, and mechanistic multi-omics evidence, our study establishes a robust link between NO₂ exposure, biological aging, and CHD risk, providing novel insights for environmental interventions and cardiovascular disease prevention.",2025,Journal Article,10.1016/j.jhazmat.2025.140429,genetic_instrument
doi:10.1038/s41467-024-52909-y,europepmc,Systems biology approaches identify metabolic signatures of dietary lifespan and healthspan across species.,"Dietary restriction (DR) is a potent method to enhance lifespan and healthspan, but individual responses are influenced by genetic variations. Understanding how metabolism-related genetic differences impact longevity and healthspan are unclear. To investigate this, we used metabolites as markers to reveal how different genotypes respond to diet to influence longevity and healthspan traits. We analyzed data from Drosophila Genetic Reference Panel (DGRP) strains raised under AL and DR conditions, combining metabolomic, phenotypic, and genome-wide information. We employed two computational and complementary methods across species-random forest modeling within the DGRP as our primary analysis and Mendelian randomization in human cohorts as a secondary analysis. We pinpointed key traits with cross-species relevance as well as underlying heterogeneity and pleiotropy that influence lifespan and healthspan. Notably, orotate was linked to parental age at death in humans and blocked the DR lifespan extension in flies, while threonine supplementation extended lifespan, in a strain- and sex-specific manner. Thus, utilizing natural genetic variation data from flies and humans, we employed a systems biology approach to elucidate potential therapeutic pathways and metabolomic targets for diet-dependent changes in lifespan and healthspan.",2024,"research-article; Journal Article; Research Support, N.I.H., Extramural",10.1038/s41467-024-52909-y,genetic_instrument
doi:10.1038/s43587-021-00159-8,europepmc,Mendelian randomization of genetically independent aging phenotypes identifies LPA and VCAM1 as biological targets for human aging.,"Length and quality of life are important to us all, yet identification of promising drug targets for human aging using genetics has had limited success. In the present study, we combine six European-ancestry genome-wide association studies of human aging traits-healthspan, father and mother lifespan, exceptional longevity, frailty index and self-rated health-in a principal component framework that maximizes their shared genetic architecture. The first principal component (aging-GIP1) captures both length of life and indices of mental and physical wellbeing. We identify 27 genomic regions associated with aging-GIP1, and provide additional, independent evidence for an effect on human aging for loci near HTT and MAML3 using a study of Finnish and Japanese survival. Using proteome-wide, two-sample, Mendelian randomization and colocalization, we provide robust evidence for a detrimental effect of blood levels of apolipoprotein(a) and vascular cell adhesion molecule 1 on aging-GIP1. Together, our results demonstrate that combining multiple aging traits using genetic principal components enhances the power to detect biological targets for human aging.",2022,"Research Support, Non-U.S. Gov't; Journal Article; Research Support, N.I.H., Extramural",10.1038/s43587-021-00159-8,genetic_instrument
doi:10.1101/2023.07.09.548232,europepmc,Systems biology and machine learning approaches identify metabolites that influence dietary lifespan and healthspan responses across flies and humans,"Summary Dietary restriction (DR) is a potent method to enhance lifespan and healthspan, but individual responses are influenced by genetic variations. Understanding how metabolism-related genetic differences impact longevity and healthspan are unclear. To investigate this, we used metabolites as markers to reveal how different genotypes respond to diet to influence longevity and healthspan traits. We analyzed data from Drosophila Genetic Reference Panel strains raised under AL and DR conditions, combining metabolomic, phenotypic, and genome-wide information. Employing two computational methods across species—random forest modeling within the DGRP and Mendelian randomization in the UK Biobank—we pinpointed key traits with cross-species relevance that influence lifespan and healthspan. Notably, orotate was linked to parental age at death in humans and counteracted DR effects in flies, while threonine extended lifespan, in a strain- and sex-specific manner. Thus, utilizing natural genetic variation data from flies and humans, we employed a systems biology approach to elucidate potential therapeutic pathways and metabolomic targets for diet-dependent changes in lifespan and healthspan.",2023,Preprint,10.1101/2023.07.09.548232,genetic_instrument
doi:10.1111/acel.70564,europepmc,Sex-Specific Regulation of the Turandot Gene Family Modulates Temperature-Dependent Lifespan in Drosophila melanogaster.,"Ambient temperature is a primordial determinant of longevity across the animal kingdom, yet the molecular transducers that couple thermal cues to aging rates remain elusive. Here, we interrogate the transcriptomic and metabolomic landscapes of Drosophila melanogaster to decode the mechanisms of temperature-dependent lifespan extension. We find that thermal stress drives a profound remodeling of the transcriptome that surprisingly outpaces metabolic adaptation. Through this multi-omics integration, we identify the Turandot (tot) gene family as a significant factor in the thermal longevity response. Intriguingly, tot genes are not merely passive responders to temperature; rather, they actively regulate lifespan. We demonstrate that RNAi-mediated knockdown of tot expression is sufficient to extend longevity across a range of temperatures, uncoupling the survival benefit from the thermal environment. Furthermore, this extension exhibits distinct sexual dimorphism, suggesting a sex-specific strategy in stress-response allocation. These findings establish the Turandot family as a novel, genetically separable regulator of aging, challenging the view that temperature-mediated longevity is solely a passive thermodynamic consequence.",2026,research-article; Journal Article,10.1111/acel.70564,direct_perturbation
doi:10.1186/s12967-026-07766-2,europepmc,Multiomics analysis reveals that senescent CXCL16<sup>+</sup> macrophages promote lung adenocarcinoma progression through TGF-β signalling.,"Background Lung adenocarcinoma (LUAD) is the most common histological subtype of lung cancer and remains a leading cause of cancer-related mortality worldwide. Although, immunotherapy has become a cornerstone of first-line treatment, only 20-30% of patients achieve a durable clinical benefit, largely because of the complexity and heterogeneity of the tumour immune microenvironment. Emerging evidence indicates that cellular senescence, particularly within immune cells, contributes to tumour progression by impairing antitumour immunity; however, its mechanistic role in LUAD remains incompletely understood. Methods We performed an integrative multiomics analysis incorporating genome-wide association studies (GWASs), bulk RNA sequencing, single-cell RNA sequencing, and spatial transcriptomics to characterize immune heterogeneity in LUAD. Cellular senescence was validated by performing staining for senescence-associated β-galactosidase and the canonical markers p16 and p21. SHAP analysis was applied to evaluate the contribution of CXCL16 + macrophages. Functional roles were assessed using coculture assays, in vitro and in vivo tumour models, orthotopic tumour implantation, and multiplex immunofluorescence staining of clinical specimens. Results A summary data-based on Mendelian randomization analysis integrating GWAS and TCGA data identified CXCL16 as a senescence-associated gene that is causally linked to the LUAD risk. Single-cell RNA sequencing revealed that CXCL16 is predominantly expressed in macrophages, and the pseudotime analysis together with β-galactosidase staining confirmed its association with macrophage senescence. Spatial transcriptomics and immunofluorescence staining showed the marked enrichment of CXCL16 + macrophages in LUAD tissues. The cell-cell communication analysis further revealed a strong association between the number of CXCL16 + macrophages and the activation of the TGF-β signalling pathway within the tumour microenvironment. Functionally, CXCL16 + macrophages promoted LUAD progression via TGF-β signalling, as validated in vitro and in subcutaneous and orthotopic tumour models. Molecular dynamics simulations additionally suggested that LUAD patients with high levels of CXCL16 + macrophage infiltration may exhibit increased sensitivity to bosutinib. Conclusions CXCL16 promotes macrophage senescence, and senescent CXCL16 + macrophages drive LUAD progression through TGF-β signalling. These findings identify CXCL16 + macrophages as a biologically and therapeutically relevant immune cell population, highlighting a potential target for precision intervention in LUAD.",2026,research-article; Journal Article,10.1186/s12967-026-07766-2,genetic_instrument
doi:10.18632/aging.100011,openalex,SIRT6 stabilizes DNA-dependent Protein Kinase at chromatin for DNA double-strand break repair,"The Sir2 chromatin regulatory factor links maintenance of genomic stability to life span extension in yeast. The mammalian Sir2 family member SIRT6 has been proposed to have analogous functions, because SIRT6-deficiency leads to shortened life span and an aging-like degenerative phenotype in mice, and SIRT6 knockout cells exhibit genomic instability and DNA damage hypersensitivity. However, the molecular mechanisms underlying these defects are not fully understood. Here, we show that SIRT6 forms a macromolecular complex with the DNA double-strand break (DSB) repair factor DNA-PK (DNA-dependent protein kinase) and promotes DNA DSB repair. In response to DSBs, SIRT6 associates dynamically with chromatin and is necessary for an acute decrease in global cellular acetylation levels on histone H3 Lysine 9. Moreover, SIRT6 is required for mobilization of the DNA-PK catalytic subunit (DNA-PKcs) to chromatin in response to DNA damage and stabilizes DNA-PKcs at chromatin adjacent to an induced site-specific DSB. Abrogation of these SIRT6 activities leads to impaired resolution of DSBs. Together, these findings elucidate a mechanism whereby regulation of dynamic interaction of a DNA repair factor with chromatin impacts on the efficiency of repair, and establish a link between chromatin regulation, DNA repair, and a mammalian Sir2 factor.",2009,article,10.18632/aging.100011,direct_perturbation
doi:10.3389/fendo.2025.1661666,europepmc,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis.,"Background The causal role of cellular senescence in preeclampsia pathogenesis is not fully established. This study aimed to systematically prioritize key senescence-related genes potentially driving preeclampsia using a Mendelian randomization (MR) framework. Results We integrated genome-wide association studies (GWAS) of preeclampsia with expression, methylation, and proteomic quantitative trait loci (eQTLs/mQTLs/pQTLs) data for 866 senescence-related genes. Summary-data-based MR (SMR) coupled with the HEIDI (Heterogeneity in Dependent Instruments) test were used to assess causal associations and pleiotropy. Colocalization analysis evaluated shared genetic variants between QTLs and preeclampsia GWAS signals. Significant MR findings were explored for replication in an independent GWAS cohort (GCST90301704). Preliminary experimental support involved RT-PCR analysis of candidate genes in placental tissues from 10 preeclampsia patients and 5 gestational age-matched (34-38 weeks) healthy controls. Integration of SMR/HEIDI tests and colocalization (PPH4 > 0.5) prioritized 12 eQTLs, 62 mQTLs, and 2 pQTLs linked to preeclampsia. mQTL-eQTL analysis implicated methylation-regulated expression of ATG16L1 , PMVK , and MAP3K14 , offering valuable hypotheses for mechanistic studies. Conclusion Placental RT-PCR showed upregulated ATG16L1 and downregulated PMVK , MAP3K14 , NSUN2 , and CDC25A in preeclampsia. Key genes ( ATG16L1 , PMVK , MAP3K14 , NSUN2 , CDC25A ) link cellular senescence to preeclampsia, offering insights for mechanistic studies and therapeutic targeting.",2025,research-article; Journal Article,10.3389/fendo.2025.1661666,genetic_instrument
doi:10.7554/elife.30952,openalex,Transcriptomic and proteomic landscape of mitochondrial dysfunction reveals secondary coenzyme Q deficiency in mammals,"Dysfunction of the oxidative phosphorylation (OXPHOS) system is a major cause of human disease and the cellular consequences are highly complex. Here, we present comparative analyses of mitochondrial proteomes, cellular transcriptomes and targeted metabolomics of five knockout mouse strains deficient in essential factors required for mitochondrial DNA gene expression, leading to OXPHOS dysfunction. Moreover, we describe sequential protein changes during post-natal development and progressive OXPHOS dysfunction in time course analyses in control mice and a middle lifespan knockout, respectively. Very unexpectedly, we identify a new response pathway to OXPHOS dysfunction in which the intra-mitochondrial synthesis of coenzyme Q (ubiquinone, Q) and Q levels are profoundly decreased, pointing towards novel possibilities for therapy. Our extensive omics analyses provide a high-quality resource of altered gene expression patterns under severe OXPHOS deficiency comparing several mouse models, that will deepen our understanding, open avenues for research and provide an important reference for diagnosis and treatment.",2017,article,10.7554/elife.30952,direct_perturbation
