record_id,source,title,abstract,year,document_type,doi,proposed_design_family
doi:10.1002/brb3.70937,europepmc,Longevity Code: Lipidome Associations and Mediated Metabolite Effects.,"Objective The effects of lipidome on longevity and the role of metabolites in between have not been fully elucidated. The purpose of this study was to assess the causal effects of lipidome on longevity and the mediated effects of metabolites using Mendelian randomization (MR). Methods Data on lipidome, metabolites, and longevity were acquired in the genome-wide association studies, and single-nucleotide polymorphisms meeting the basic assumptions of MR were selected. Subsequently, inverse variance weighted was employed as the primary method to analyze the causal effects of lipidome on longevity and the mediated effects of metabolites. Finally, MR-Egger intercept was used to assess horizontal pleiotropy in the results. Cochran's Q and leave-one-out sensitivity analysis were used to assess the heterogeneity and robustness of the results, respectively. Results The MR analysis showed that sterol ester (27:1/18:3) decreased genetic susceptibility to longevity (90th) by reducing ethylenediaminetetraacetic acid (EDTA) levels (mediated proportion: 13.60%; mediated effect: -0.020, 95% confidence interval [CI] -0.039 to -0.002, p = 0.033); triacylglycerol (52:2) decreased genetic susceptibility to longevity (90th) by reducing EDTA levels (mediated proportion: 11.20%; mediated effect: -0.025, 95% CI -0.045 to -0.004, p = 0.020); triacylglycerol (54:5) decreased genetic susceptibility to longevity (90th) by increasing 1-arachidonoyl-gpc (20:4n6) levels (mediated proportion:8.37%; mediated effect: -0.010, 95% CI -0.021 to -9.44e-05, p = 0.048); phosphatidylcholine (O-16:0_18:2) increased genetic susceptibility to longevity (90th) by increasing EDTA levels (mediated proportion: 22.10%; mediated effect: 0.029, 95% CI 0.007-0.050, p = 0.008). MR-Egger intercept showed that these results lacked horizontal pleiotropy (p ≥ 0.05). Cochran's Q and sensitivity analysis showed that the MR results had no heterogeneity and were robust. Conclusion The MR analysis revealed four pathways through which lipidome regulates longevity via metabolites. Lipidome such as sterol ester (27:1/18:3), phosphatidylcholine (O-16:0_18:2), triacylglycerol (52:2), and triacylglycerol (54:5), as well as metabolites such as EDTA and 1-arachidonoyl-gpc (20:4n6), may play important roles in longevity.",2025,research-article; Journal Article,10.1002/brb3.70937,genetic_instrument
doi:10.1016/j.athplu.2026.03.001,europepmc,Associations of NMR metabolic biomarkers and arterial calcification: An observational and Mendelian randomization study within the BBMRI metabolomics consortium.,"Background and aim The metabolic roles in arterial calcification remain largely unclear. We aimed to elucidate the associations between nuclear magnetic resonance (NMR) metabolic biomarkers with site- and sex-specific arterial calcification as well as their causal nature. Methods This study included participants from the Rotterdam Study (RS, N = 1062), Leiden Longevity Study (LLS, N = 272), and UK Biobank (UKBB, N = 271,793). In RS and LLS, we applied linear regression (both overall and sex-stratified) to assess the association between NMR metabolic biomarkers and arterial calcification at coronary artery (CAC), aortic arch (AAC), and aortic valve (AVC). Two-sample Mendelian randomization (MR) was employed using genome-wide association study of NMR biomarkers (N = 115,082) and CAC (N = 26,909) to infer their genetic causality. Biomarkers with consistent observational and causal associations were further examined for associations with coronary heart disease (CHD) in UKBB. Results From multiple-testing correction (P-value -4 ), three fatty acids ratio biomarkers were associated with decreased CAC burden: Omega_6_pct (Beta: -0.10, SE: 0.03, P-value: 2.94 × 10 -4 ), PUFA_by_MUFA (Beta: -0.10, SE: 0.03, P-value: 3.08 × 10 -4 ), and PUFA_pct (Beta: -0.10, SE: 0.03, P-value: 3.33 × 10 -4 ). Sex-stratification revealed glycoprotein acetyls (GlycA) associated with CAC in males only (Beta: 0.13, SE: 0.04, P-value: 3.10 × 10 -4 ). MR identified 17 biomarkers causally associated with CAC, 14 of which were subsequently associated with CHD in UKBB. Conclusions We identified NMR-based metabolic biomarkers, particularly fatty acid ratios, that were significantly and causally associated with CAC burden. GlycA was associated with CAC in males only. Replication in UKBB further underscores their clinical relevance with CHD.",2026,research-article; Journal Article,10.1016/j.athplu.2026.03.001,genetic_instrument
doi:10.1016/j.molcel.2018.11.034,semantic_scholar,The RNA-binding protein PUM2 impairs mitochondrial dynamics and mitophagy during aging,"Summary Little information is available about how post-transcriptional mechanisms regulate the aging process. Here, we show that the RNA-binding protein Pumilio2 (PUM2), which is a translation repressor, is induced upon aging and acts as a negative regulator of lifespan and mitochondrial homeostasis. Multi-omics and cross-species analyses of PUM2 function show that it inhibits the translation of the mRNA encoding for the mitochondrial fission factor (Mff), thereby impairing mitochondrial fission and mitophagy. This mechanism is conserved in C. elegans by the PUM2 orthologue, PUF-8. puf-8 knock-down in old nematodes and Pum2 CRISPR/Cas9-mediated knockout in the muscles of elderly mice enhances mitochondrial fission and mitophagy in both models, hence improving mitochondrial quality control and tissue homeostasis. Our data reveal how a PUM2-mediated layer of post-transcriptional regulation links altered Mff translation to mitochondrial dynamics and mitophagy, thereby mediating age-related mitochondrial dysfunctions.",2019,JournalArticle,10.1016/j.molcel.2018.11.034,direct_perturbation
doi:10.1038/s41467-025-66217-6,pubmed,"Egr1 is a sex-dependent regulator of neuronal chromatin, structural plasticity, and behaviour.","Sex differences are found in brain structure and function across species, and across brain disorders in humans. A major source of brain sex differences is differential secretion of steroid hormones from the gonads across the lifespan. Specifically, ovarian hormones oestrogens and progesterone are known to dynamically change structure and function of the adult female brain, having a major impact on psychiatric risk. However, due to limited molecular studies in female rodents, very little is still known about molecular drivers of female-specific brain and behavioural plasticity. Here we show that ventral hippocampal (vHIP) overexpression of Egr1, an oestrous cycle-dependent transcription factor, induces sex-dependent changes in vHIP neuronal chromatin, gene expression, and structural plasticity, along with female-specific effects on vHIP-dependent behaviours. Importantly, Egr1 overexpression and knockdown partially mimic the vHIP chromatin state associated with the high and low-oestrogenic phase of the oestrous cycle, respectively. We demonstrate that Egr1 directs neuronal chromatin opening across the sexes, although with limited genomic overlap. Our study not only reveals a sex-dependent chromatin regulator in the brain, but also provides functional evidence that this sex-dependent gene regulation drives structural and behavioural plasticity, informing sex-based treatments for brain disorders.",2025,Journal Article,10.1038/s41467-025-66217-6,direct_perturbation
doi:10.1073/pnas.1720673115,semantic_scholar,Sirt4 is a mitochondrial regulator of metabolism and lifespan in Drosophila melanogaster,"Significance Sirtuins are a class of proteins known to regulate aspects of genomic stability, metabolism, and lifespan in many organisms. In this study, we show that the mitochondrial sirtuin Sirt4 plays an important role in regulating the organismal response to fasting as well as ensuring normal lifespan in Drosophila. Flies lacking Sirt4 are short-lived, while flies overexpressing Sirt4 are long-lived. Flies lacking Sirt4 display a number of metabolic defects, including sensitivity to starvation; decreased fertility and activity; and an inability to utilize energy stores, particularly long-chain fatty acids, suggesting Sirt4 is important for maintaining metabolic homeostasis. Our results suggest that boosting mitochondrial sirtuin activity may be an important avenue for treating age-related metabolic decline and preserving healthy lifespan. Sirtuins are an evolutionarily conserved family of NAD+-dependent deacylases that control metabolism, stress response, genomic stability, and longevity. Here, we show the sole mitochondrial sirtuin in Drosophila melanogaster, Sirt4, regulates energy homeostasis and longevity. Sirt4 knockout flies have a short lifespan, with increased sensitivity to starvation and decreased fertility and activity. In contrast, flies overexpressing Sirt4 either ubiquitously or specifically in the fat body are long-lived. Despite rapid starvation, Sirt4 knockout flies paradoxically maintain elevated levels of energy reserves, including lipids, glycogen, and trehalose, while fasting, suggesting an inability to properly catabolize stored energy. Metabolomic analysis indicates several specific pathways are affected in Sirt4 knockout flies, including glycolysis, branched-chain amino acid metabolism, and impaired catabolism of fatty acids with chain length C18 or greater. Together, these phenotypes point to a role for Sirt4 in mediating the organismal response to fasting, and ensuring metabolic homeostasis and longevity.",2018,JournalArticle,10.1073/pnas.1720673115,direct_perturbation
doi:10.1101/2025.03.27.25324801,europepmc,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk,"Biological aging clocks across organs and omics data, including clinical phenotypes, neuroimaging, proteomics, and epigenetics, have proven instrumental in advancing our understanding of human aging and disease. Here, we expand this aging clock framework to plasma metabolomics by developing 5 organ-specific metabolome-based biological age gaps (MetBAGs) using 107 plasma non-derived metabolites from 274,247 UK Biobank participants. Our multi-organ MetBAGs were trained using Lasso regression and neural networks, achieving a mean absolute error of approximately 6 years (0.25< r <0.42) and comparable with literature for non-organ specific MetBAGs. Critically, including composite metabolites (e.g., sums or ratios of the original metabolites) reduced model generalizability to independent test data due to the high collinearity (or multicollinearity). Genome-wide associations identified 405 MetBAG-locus pairs (P<5×10□□/5). Using SBayesS, we estimated the SNP-based heritability (0.09< <0.18), negative selection signatures (-0.93< S <-0.76), and polygenicity (0.001< Pi <0.003) for the 5 MetBAGs. Genetic correlation and Mendelian randomization analyses revealed potential causal links between the 5 MetBAGs and cardiometabolic conditions, such as metabolic disorders with the endocrine MetBAG and hypertension with the immune MetBAG. Integrating multi-organ and multi-omics features improved disease category and mortality predictions. The 5 MetBAGs expand upon existing biological aging clocks, providing an enriched framework for studying aging and disease across multiple biological scales.",2025,Preprint,10.1101/2025.03.27.25324801,genetic_instrument
doi:10.1136/heartjnl-2026-327950,pubmed,Abdominal adiposity and accelerated biological ageing in relation to general and cardiovascular ageing in Chinese adults.,"Abdominal adiposity may contribute to both general and cardiovascular ageing, yet the extent to which accelerated biological age (BA) at distinct molecular levels mediates these effects has not been fully elucidated. Three BA measures were constructed using metabolomics (MetaboAge, n=4391), clinical biomarkers (Klemera-Doubal method BA; KDM-BA, n=12 369) and DNA methylation (DNAm PhenoAge, n=980) within the prospective China Kadoorie Biobank and their predictive accuracy for all-cause mortality were evaluated. We explored the potential causal effects of abdominal adiposity, measured by waist-to-hip ratio (WHR) and WHR adjusted for body mass index (WHRadjBMI), on BA acceleration using observational study and Mendelian randomisation. We further investigated the extent to which BA accelerations mediated the effects of abdominal adiposity on cardiovascular ageing (assessed by atherosclerotic cardiovascular disease (ASCVD) incidence and mortality) and general ageing (assessed by all-cause mortality and frailty index). Both MetaboAge and KDM-BA improved prediction for all-cause mortality beyond chronological age (area under the receiver operating characteristic curve (AUROC) difference: MetaboAge=0.040, KDM-BA=0.012, p<0.001). In observational analyses, abdominal adiposity was associated with accelerated ageing across all three BA clocks, with effect estimates ranging from 0.055 (95% CI 0.038 to 0.073) for the association between WHR and KDM-BA acceleration to 0.107 (0.044 to 0.170) for the association between WHRadjBMI and DNAm PhenoAge acceleration. These associations remained significant in Mendelian randomisation analyses. Mediation analyses revealed that acceleration of MetaboAge and KDM-BA partially explained the effects of abdominal adiposity on cardiovascular ageing (%mediated: 6.0%-25.3%), while all three BA clocks accelerations mediated associations with general ageing assessed by all-cause mortality (%mediated: 17.6%-60.6%), with MetaboAge contributing the largest proportion of mediation. Additionally, KDM-BA acceleration mediated the association between abdominal adiposity and frailty index. Abdominal adiposity is associated with ageing acceleration across multiple biological domains, especially via metabolic alterations captured by MetaboAge. Our findings demonstrated that targeting abdominal adiposity-related metabolic dysfunction may mitigate age-related conditions.",2026,Journal Article,10.1136/heartjnl-2026-327950,genetic_instrument
doi:10.1186/s13073-024-01322-7,europepmc,Metabolome-wide Mendelian randomization for age at menarche and age at natural menopause.,"Background The role of metabolism in the variation of age at menarche (AAM) and age at natural menopause (ANM) in the female population is not entirely known. We aimed to investigate the causal role of circulating metabolites in AAM and ANM using Mendelian randomization (MR). Methods We combined MR with genetic colocalization to investigate potential causal associations between 658 metabolites and AAM and between 684 metabolites and ANM. We extracted genetic instruments for our exposures from four genome-wide association studies (GWAS) on circulating metabolites and queried the effects of these variants on the outcomes in two large GWAS from the ReproGen consortium. Additionally, we assessed the mediating role of the body mass index (BMI) in these associations, identified metabolic pathways implicated in AAM and ANM, and sought validation for selected metabolites in the Avon Longitudinal Study of Parents and Children (ALSPAC). Results Our analysis identified 10 candidate metabolites for AAM, but none of them colocalized with AAM. For ANM, 76 metabolites were prioritized (FDR-adjusted MR P-value ≤ 0.05), with 17 colocalizing, primarily in the glycerophosphocholines class, including the omega-3 fatty acid and phosphatidylcholine (PC) categories. Pathway analyses and validation in ALSPAC mothers also highlighted the role of omega and polyunsaturated fatty acids levels in delaying age at menopause. Conclusions Our study suggests that metabolites from the glycerophosphocholine and fatty acid families play a causal role in the timing of both menarche and menopause. This underscores the significance of specific metabolic pathways in the biology of female reproductive longevity.",2024,"Research Support, Non-U.S. Gov't; research-article; Journal Article",10.1186/s13073-024-01322-7,genetic_instrument
doi:10.21203/rs.3.rs-2114482/v1,europepmc,Mendelian randomization analyses reveal causal relationships between the human microbiome and longevity,"Although recent studies have revealed the association between the human microbiome especially gut microbiota and longevity, their causality remains unclear. Here, we assess the causal relationships between the human microbiome (oral and gut microbiota) and longevity, by leveraging bidirectional two-sample Mendelian randomization (MR) analyses based on genome-wide association studies (GWAS) summary statistics of the gut and oral microbiome from the 4D-SZ cohort and longevity from the CLHLS cohort. We found that some disease-protected gut microbiota such as Coriobacteriaceae and Oxalobacter as well as the probiotic Lactobacillus amylovorus causally related to increased odds of longevity, whereas the other gut microbiota such as colorectal cancer pathogen Fusobacterium nucleatum, Coprococcus , Streptococcus , Lactobacillus and Neisseria negatively associated with longevity. The reverse MR analysis further revealed genetically longevous individuals tended to have higher abundances of Prevotella and Paraprevotella but lower abundances of Bacteroides and Fusobacterium species. Causalities between the gut microbiota and longevity showed a big heterogeneity among populations. We also identified abundant causalities between the oral microbiome and longevity. The additional analysis suggested that centenarians genetically had a lower gut microbial diversity, but no difference in oral microbiota. Our findings help separate causal roles of the human microbiome in longevity from secondary changes associated with aging and underscore the relocation of commensal microbes among different body sites that would need to be monitored for a long and healthy life.",2022,Preprint,10.21203/rs.3.rs-2114482/v1,genetic_instrument
doi:10.3389/fnagi.2024.1423725,europepmc,Senescence-related genes and proteins in the development of Alzheimer's disease: evidence from transcriptomic and Mendelian randomization analysis.,"Purpose Alzheimer's disease (AD) is a common neurodegenerative disease, which can lead to cognitive impairment and dementia. Since AD is tightly associated with aging and cellular senescence, objective of this study was to investigate the association between senescence-related genes and proteins (SRGs and SRPs) and the development of AD. Design The whole study was based on transcriptomic analysis of control and AD brain tissues and Mendelian randomization (MR) analysis. Methods For transcriptomic analysis, GSE5281 dataset from GEO database contains the transcriptomic data of human brain tissues ( n = 161) from control group and AD patients. The expression of SRGs in control and AD brain tissues were compared by Student's t test. For MR analysis, the instrumental single-nucleotide polymorphisms (SNPs) associated with 110 SRPs were filtered and selected from a large genome-wide association study (GWAS) for plasma proteome. The causality between plasma levels of SRPs and AD was explored using GWAS data of AD from Lambert et al. (17,008 cases and 37,154 controls) and further validated by using data from FinnGen consortium (6,489 patients and 170,489 controls). MR estimate was performed using the inverse-variance weighted (IVW) method and the heterogeneity and pleiotropy of results were tested. Results Transcriptomic analysis identified 36 up-regulated (including PLAUR ) and 8 down-regulated SRGs in AD brain tissues. In addition, the MR results at both discovery and validation stages supported the causality between plasma levels of PLAUR (IVW- p = 3.04E-2, odds ratio [OR] = 1.15), CD55 (IVW- p = 1.56E-3, OR = 0.86), and SERPINE2 (IVW- p = 2.74E-2, OR = 0.91) and the risk of AD. Conclusion Our findings identified that PLAUR , as an SRG, may take part in the development of AD and found that high plasma levels of PLAUR was associated with increased risk of AD, indicating that this gene was a risk factor for this disease and providing the rationale of existing drugs or new preventative and therapeutic strategies.",2024,research-article; Journal Article,10.3389/fnagi.2024.1423725,genetic_instrument
