record_id,source,title,abstract,year,document_type,doi,proposed_design_family
doi:10.1002/trc2.70286,pubmed,The proteomic and metabolomic signature of inherited chromosomally integrated HHV-6 and its role in all-cause dementia and mortality risk: The UK Biobank study.,"To examine associations of inherited chromosomally integrated human herpesvirus 6 (iciHHV-6) with incident dementia and mortality, characterize proteomic and metabolomic correlates of carrier status, and evaluate whether these biomarkers relate to dementia and mortality risk. We analyzed UK Biobank participants ≥50 years of age with plasma metabolomics ( N = 138,676) and proteomics ( N ≤ 15,416) data and ≈15 years of follow-up. Cox proportional hazards models adjusted for key confounding factors evaluated associations of iciHHV-6 with dementia and mortality. Multivariable linear models assessed iciHHV-6 associations with metabolomic and proteomic profiles. Mediation and interaction were evaluated using structural equation models and Cox models with biomarker interactions. Least absolute shrinkage and selection operator regression identified independent proteomic and metabolomic predictors using imputed biomarker data. iciHHV-6 was associated with higher dementia risk (hazard ratio [HR] = 1.32), particularly among women (HR = 1.66) and individuals with elevated Alzheimer's disease polygenic risk (HR = 1.49). Branched-chain amino acids (leucine and isoleucine) were elevated among carriers without mediating dementia risk. Proteomic analyses identified 126 nominally associated iciHHV-6-related proteins, many of which (Neurofilament Light Chain (NEFL), Glial Fibrillary Acidic Protein (GFAP), Yes-Associated Protein 1 (YAP1), Sialic Acid-binding Immunoglobulin-like Lectin 5 (SIGLEC5), Interleukin 19 (IL19), A Disintegrin And Metalloproteinase with Thrombospondin Motifs 16 (ADAMTS16), Sphingomyelin Phosphodiesterase 1 (SMPD1)) were also associated with dementia and/or mortality. Exploratory pathway analyses suggested enrichment of proteins related to immune regulation and post-translational modification. Predictive models identified NEFL, GFAP, Vascular Endothelial Growth Factor A (VEGF), Brevican (BCAN), remnant cholesterol, and polyunsaturated fatty acids as dementia predictors (area under the curve [AUC] = 0.83), whereas NEFL, Growth Differentiation Factor 15 (GDF15) Latent Transforming Growth Factor Beta Binding Protein 2 (LTBP2), Ectodysplasin A2 Receptor (EDA2R) and Advanced Glycosylation End-product Specific Receptor (AGER) predicted mortality (AUC = 0.70). iciHHV-6 was associated with increased dementia risk, particularly among women and genetically susceptible individuals, with neuroimmune and metabolic biomarker profiles potentially relevant to brain aging and mortality risk.",2026,Journal Article,10.1002/trc2.70286,sem
doi:10.1016/j.cell.2026.01.022,europepmc,Vitamin B2 and B3 nutrigenomics reveals a therapy for NAXD disease.,"Vitamins are essential metabolites that must be obtained from external sources. In modern times, they have become widely available, leading to their ad hoc consumption. We developed a nutritional genomics framework to systematically identify monogenic diseases responsive to micronutrient modulation. Genome-wide CRISPR screens under varying vitamin B2 and B3 levels revealed dozens of candidate disease genes amenable to rescue by individual vitamins. In the vitamin B3 screen, NAD(P)HX dehydratase (NAXD) was the top hit; this enzyme repairs an aberrant, hydrated form of NADH (6-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide [NADHX]), and its loss causes severe neurodevelopmental disease. In our Naxd knockout (KO) mouse, we observed NADHX accumulation, NAD + depletion, and impaired serine biosynthesis in neonatal KO brains. Spatial metabolomics, single-nuclei RNA sequencing (snRNA-seq), and histology pinpointed cortical and brain endothelial cell vulnerability. Low-vitamin B3 diets accelerated pathology, whereas vitamin B3 supplementation extended lifespan by more than 40-fold. These findings establish a nutritional genomics framework and demonstrate the therapeutic potential of precision vitamin interventions.",2026,research-article; Journal Article,10.1016/j.cell.2026.01.022,direct_perturbation
doi:10.1016/j.stem.2026.05.009,pubmed,ZNF512B safeguards genome integrity at regulatory regions to repress the SASP and inflammation.,"Cellular senescence drives aging and disease largely through the senescence-associated secretory phenotype (SASP), yet its regulatory mechanisms remain unclear. Using a SASP reporter combined with a CRISPR-Cas9 screen targeting active regulatory elements, we identify the zinc-finger protein ZNF512B as a key suppressor of the SASP. ZNF512B loss induces DNA damage, activates cGAS-STING signaling, and triggers inflammatory transcriptional reprogramming. In contrast, ZNF512B promotes preferential DNA repair at regulatory genomic regions, limiting SASP induction. Mechanistically, ZNF512B is rapidly recruited to DNA-damage sites via distinct zinc-finger domains and facilitates NuRD complex targeting to damaged chromatin, enabling precise repair. In human neuromuscular organoids, ZNF512B deficiency induces inflammation, lineage imbalance, and cytokine secretion resembling amyotrophic lateral sclerosis (ALS)-associated pathology. In vivo, ZNF512B overexpression reduces DNA damage and inflammation following acute liver injury. Together, these findings support a mechanism of preferential DNA repair that contributes to maintaining genome integrity, suppressing SASP and inflammation.",2026,Journal Article,10.1016/j.stem.2026.05.009,direct_perturbation
doi:10.1038/s41467-026-72381-0,europepmc,"An antagonistically pleiotropic gene regulates vertebrate growth, maturity, and lifespan.","The antagonistic pleiotropy theory of aging predicts genetic trade-offs between early-life and late-life fitness. However, empirical evidence for such trade-offs in vertebrates remains scarce, particularly from causal genetic experiments. Here, combining genetic perturbation with longitudinal phenotyping in the turquoise killifish (Nothobranchius furzeri), we identify vestigial-like 3 (vgll3), previously linked by GWAS to age at maturity in humans and male Atlantic salmon, as a gene with antagonistically pleiotropic effects. Selective disruption of vgll3 isoforms accelerates male growth and maturation in a dose-dependent manner. Transcriptomic and cellular analyses indicated increased cell division, corroborated in vivo by elevated germline and intestinal stem-cell proliferation. However, early-life maturation incurs a late-life cost, linked to altered DNA damage response. Older mutant males develop melanoma-like tumors, validated via transplantation into immunodeficient rag2 models, and exhibit a shortened lifespan. Thus, we identify vgll3 as a key regulator of life-history variation with antagonistic effects across ages, balancing early-life fitness against late-life mortality.",2026,"Research Support, Non-U.S. Gov't; research-article; Journal Article",10.1038/s41467-026-72381-0,direct_perturbation
doi:10.1093/ehjcvp/pvae038,europepmc,Utilizing genetics and proteomics to assess the role of antihypertensive drugs in human longevity and the underlying pathways: a Mendelian randomization study.,"Background Antihypertensive drugs are known to lower cardiovascular mortality, but the role of different types of antihypertensive drugs in lifespan has not been clarified. Moreover, the underlying mechanisms remain unclear. Methods and results To minimize confounding, we used Mendelian randomization to assess the role of different antihypertensive drug classes in longevity and examined the pathways via proteins. Genetic variants associated with systolic blood pressure (SBP) corresponding to drug-target genes were used as genetic instruments. The genetic associations with lifespan were obtained from a large genome-wide association study including 1 million European participants from UK Biobank and LifeGen. For significant antihypertensive drug classes, we performed sex-specific analysis, drug-target analysis, and colocalization. To examine the mediation pathways, we assessed the associations of 2291 plasma proteins with lifespan, and examined the associations of drug classes with the proteins affecting lifespan. After correcting for multiple testing, genetically proxied beta-blockers (BBs), calcium channel blockers (CCBs), and vasodilators were related to longer life years (BBs: 2.03, 95% CI 0.78-3.28 per 5 mmHg reduction in SBP, CCBs: 3.40, 95% CI 1.47-5.33, and vasodilators: 2.92, 95% CI 1.08-4.77). The beneficial effects of BBs and CCBs were more obvious in men. ADRB1, CACNA2D2, CACNB3, CPT1A, CPT2, and EDNRA genes were related to extended lifespan, with CPT2 further supported by colocalization evidence. Eighty-six proteins were related to lifespan, of which four proteins were affected by CCBs. CDH1 may mediate the association between CCBs and lifespan. Conclusions Beta-blockers, CCBs, and vasodilators may prolong lifespan, with potential sex differences for BBs and CCBs. The role of CCBs in lifespan is partly mediated by CDH1. Prioritizing the potential protein targets can provide new insights into healthy aging.",2024,Comparative Study; Journal Article,10.1093/ehjcvp/pvae038,genetic_instrument
doi:10.1101/2025.07.11.664466,europepmc,A multi-omics analysis of human fibroblasts overexpressing an Alu transposon reveals widespread disruptions in aging-associated pathways,"ABSTRACT During aging and cellular senescence, repetitive elements are frequently transcriptionally derepressed across species and cell types. Among these, the most abundant repeats by copy number in the human genome are Alu retrotransposons. Though Alu elements are often studied for their mutagenic potential, there is increasing appreciation for their contributions to other biological functions, including pro-inflammatory signaling and mitochondrial dysfunction. However, a comprehensive analysis of Alu -driven molecular changes remains to be conducted, and Alu ’s potential contributions to aging features remain incompletely characterized. Here, we show that overexpression of an AluJb transposon in human primary IMR-90 fibroblasts leads to large-scale alterations across the transcriptome, cellular proteome, and secretome. Functional genomics analyses reveal alterations in aging pathways, broadly, and mitochondrial metabolism, proteostasis, cell cycle, and extracellular matrix pathways, more specifically. Our results demonstrate that Alu transcriptional upregulation is sufficient to drive widespread disruptions to cellular homeostasis that mirror aging-associated alterations.",2025,Preprint,10.1101/2025.07.11.664466,direct_perturbation
doi:10.1186/1471-2164-15-927,semantic_scholar,Transcriptional and epigenetic responses to mating and aging in Drosophila melanogaster,"Phenotypic plasticity allows organisms to respond rapidly to changing environmental circumstances, and understanding its genomic basis can yield insights regarding the underlying genes and genetic networks affecting complex phenotypes. Female Drosophila melanogaster undergo dramatic physiological changes mediated by seminal fluid components transferred upon mating, including decreased longevity. Their physiological and behavioral effects have been well characterized, but little is known about resulting changes in regulation of gene expression or the extent to which mating-induced changes in gene expression are the same as those occurring during aging. We assessed genome-wide mRNA, microRNA, and three common histone modifications implicated in gene activation for young and aged virgin and mated female D. melanogaster in a factorial design. We identified phenotypically plastic transcripts and epigenetic modifications associated with mating and aging. We used these data to derive phenotypically plastic regulatory networks associated with mating of young flies, and aging of virgin and mated flies. Many of the mRNAs, microRNAs and epigenetic modifications associated with mating of young flies also occur with age in virgin flies, which may reflect mating-induced accelerated aging. We functionally tested the plastic regulatory networks by overexpressing environmentally sensitive microRNAs. Overexpression resulted in altered expression of ~70% of candidate target genes, and in all cases affected oviposition. Our results implicate microRNAs as mediators of phenotypic plasticity associated with mating and provide a comprehensive documentation of the genomic and epigenomic changes that accompany mating- and aging-induced physiological changes in female D. melanogaster.",2014,JournalArticle,10.1186/1471-2164-15-927,direct_perturbation
doi:10.1186/s13148-025-01927-8,europepmc,Epigenetic age acceleration and allergic diseases: a bidirectional two-sample Mendelian randomization study.,"Objective The epigenetic clock has been regarded as a highly accurate predictor of capturing the complexity between aging and the epigenome. However, there is limited understanding of the epigenetic clock in allergic diseases. The aim of this study was to explore the causal relationship between epigenetic age acceleration and allergic diseases by conducting a bidirectional two-sample Mendelian randomization (MR) study. Methods Pleiotropy analysis was conducted using the MR-Egger intercept test and the MR Pleiotropy Residual Sum and Outlier (MR-PRESSO) test. Instrumental variables were constructed using single nucleotide polymorphisms. The statistics for epigenetic age acceleration and allergic diseases were derived from genome-wide association studies (GWAS) of European ancestry. MR analysis was performed using inverse variance weighted, weighted median, and MR-Egger methods. Results Based on the inverse variance weighted method, the forward MR analysis showed that intrinsic epigenetic age acceleration (IEAA) was associated with an increased risk of allergic asthma (OR = 1.051, 95% CI 1.006 to 1.098, p = 0.025). The reverse MR analysis also indicated a significant causal relationship between allergic asthma and IEAA (OR = 1.410, 95% CI 1.111 to 1.791, p = 0.005). However, there was a lack of evidence supporting a causal relationship between IEAA and allergic conjunctivitis, atopic dermatitis, allergic rhinitis and allergic urticaria (all p > 0.05). Quality control assessments demonstrated that our study results were reliable and robust. Conclusions This study revealed bidirectional causal relationships between intrinsic epigenetic age acceleration and allergic asthma, highlighting potential prevention strategies.",2025,research-article; Journal Article,10.1186/s13148-025-01927-8,genetic_instrument
doi:10.21203/rs.3.rs-6716774/v1,europepmc,"Biological aging acceleration in major depressive disorder: a multi-omics, multi-modal analyses","Abstract Major depressive disorder (MDD) is linked to a higher risk of premature aging, but the mechanisms underlying this association remain unclear. Using data from two population cohorts (UK Biobank and Finnish Twin Cohort), we evaluate the relationship between systemic and organ-specific proteomic and epigenetic aging acceleration and MDD. A lifetime history of MDD was associated with accelerated proteomic aging at both systemic and organ-specific levels—including the brain—in both cohorts, with stronger associations than those observed with systemic epigenetic aging. Systemic and brain proteomic aging acceleration were linked to higher risks of incident MDD and a greater risk of Alzheimer’s disease, related dementia, and mortality among individuals with MDD in the UK Biobank. Evidence of depressive episode remission attenuated the association between MDD and systemic and brain proteomic aging acceleration. Finally, Mendelian randomization analyses revealed a causal effect of MDD on systemic and brain proteomic aging acceleration. Our results suggest a strong bidirectional association between MDD and biological aging acceleration. Biological aging acceleration, assessed by proteomic systemic and organ-specific clocks, can serve as a novel therapeutic target for treating MDD and for mitigating the long-term risks of adverse health outcomes associated with this condition.",2025,Preprint,10.21203/rs.3.rs-6716774/v1,genetic_instrument
doi:10.3390/toxics14020170,europepmc,Size-Dependent Disruption of Lipid Metabolism by Polystyrene Micro- and Nanoplastics in <i>Caenorhabditis elegans</i> Revealed Through Multi-Omics and Functional Genetic Validation.,"Microplastics (MPs) are pervasive contaminants that enter the food chain and cause health issues. However, the size-dependent effects of MPs on lipid metabolism remain inadequately characterized. Using Caenorhabditis elegans ( C. elegans ), we investigated the size-dependent toxicity of polystyrene (PS)-MPs as model contaminants with sizes of 100 nm and 1 μm, respectively. We evaluated multiple phenotypic endpoints, including lifespan, growth (body length and width), locomotion (head thrashes and body bends), reproduction, and intestinal lipofuscin. The expression of representative lipid metabolism-related transcripts was validated by quantitative PCR. Untargeted metabolomics profiling detected 831 differential metabolites (451down-regulated and 380 up-regulated) across both PS particle exposure groups, with over-representation of lipid metabolic pathways. Integration of multi-omics (transcriptomics and metabolomics) highlighted acdh-1 , ech-6 , hach-1 , and sur-5 as core lipid-metabolism genes; RNA interference confirmed that knockdown of these target genes abolished the size-dependent differences in fat accumulation induced by MPs. Notably, it revealed elevated linoleic acid and taurocholic acid, signature metabolites indicative of disrupted lipid turnover by our metabolomic profiling. Collectively, our findings demonstrate that exposure to PS-MPs disrupts lipid homeostasis in C. elegans by perturbing mitochondrial function and key metabolic pathways, which in turn impairs growth, development, feeding, and reproductive capacity. Critically, these disruptive effects exhibit a strong size dependency, with 100 nm PS particles inducing more severe perturbations than the 1 μm particles, and provide novel mechanistic insight into MP-induced metabolic abnormalities, underscoring the importance of considering particle size in assessing the environmental and health risks of MP contamination.",2026,research-article; Journal Article,10.3390/toxics14020170,direct_perturbation
