arm,report_id,work_unit_id,left_analysis_count,right_analysis_count,both_empty,at_least_one_nonempty,analysis_count_exact,closed_field_multiset_exact,scientific_field_multiset_exact,evidence_atom_union_exact,evidence_atom_jaccard,closed_plus_grounding_exact,all_fields_plus_grounding_exact
evidence_atom_id,doi:10.1007/s11306-023-02022-w,analysis-window-001,3,3,False,True,True,True,False,False,0.7222222222222222,False,False
evidence_atom_id,doi:10.1007/s11306-023-02022-w,analysis-window-002,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1007/s11306-023-02022-w,analysis-window-003,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1007/s11306-023-02022-w,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1016/j.ccell.2024.09.002,analysis-window-001,3,4,False,True,False,False,False,False,0.5,False,False
evidence_atom_id,doi:10.1016/j.ccell.2024.09.002,analysis-window-002,4,6,False,True,False,False,False,False,0.8636363636363636,False,False
evidence_atom_id,doi:10.1016/j.ccell.2024.09.002,analysis-window-003,7,2,False,True,False,False,False,False,0.46153846153846156,False,False
evidence_atom_id,doi:10.1016/j.ccell.2024.09.002,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1016/j.ccell.2024.09.002,analysis-window-005,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1016/j.ccell.2024.09.002,analysis-window-006,3,3,False,True,True,False,False,False,0.9090909090909091,False,False
evidence_atom_id,doi:10.1016/j.ccell.2024.09.002,analysis-window-007,3,6,False,True,False,False,False,False,0.7058823529411765,False,False
evidence_atom_id,doi:10.1038/s41413-025-00422-3,analysis-window-001,8,8,False,True,True,True,False,False,0.7272727272727273,False,False
evidence_atom_id,doi:10.1038/s41413-025-00422-3,analysis-window-002,10,6,False,True,False,False,False,False,0.4791666666666667,False,False
evidence_atom_id,doi:10.1038/s41413-025-00422-3,analysis-window-003,3,1,False,True,False,False,False,False,0.2857142857142857,False,False
evidence_atom_id,doi:10.1038/s41413-025-00422-3,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1038/s41413-025-00422-3,analysis-window-005,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-001,3,3,False,True,True,True,False,False,0.6,False,False
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-002,2,4,False,True,False,False,False,True,1.0,False,False
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-003,5,3,False,True,False,False,False,False,0.5333333333333333,False,False
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-004,0,0,True,False,True,True,True,True,1.0,True,True
evidence_atom_id,doi:10.1126/sciadv.adu2294,analysis-window-005,0,0,True,False,True,True,True,True,1.0,True,True
