arm,report_id,document_id,work_unit_id,repeat,status,attempts,first_attempt_schema_valid,first_attempt_grounding_valid,terminal_schema_valid,terminal_grounding_valid,analysis_count,returned_evidence_reference_count,resolved_evidence_reference_count,all_field_inventory_sha256,decision_and_grounding_sha256,terminal_path
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-001,1,ok,1,True,True,True,True,3,19,19,a220d9feee15dab1846dc6120c2e424cb00670fd9a8670886c2a9dadc71497e6,6356c54cbdf41cea5b7c020b9a042eb7fcdc0c85283905392f8a4d9ac956e693,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-001/repeat-01/terminal.json
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-001,2,ok,1,True,True,True,True,3,15,15,ad9b3591df6477737b978b98bc00bce4935954ff1bc17437cd0ee7e5811a3e4f,6adb0da66350a5503d4fae2f05bfdc4d696f87746b98d8945f5963c17daaaafd,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-001/repeat-02/terminal.json
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-002,1,ok,1,True,True,True,True,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-002/repeat-01/terminal.json
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-002,2,ok,1,True,True,True,True,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-002/repeat-02/terminal.json
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-003,1,ok,1,True,True,True,True,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-003/repeat-01/terminal.json
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-003,2,ok,1,True,True,True,True,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-003/repeat-02/terminal.json
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-004,1,ok,1,True,True,True,True,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-004/repeat-01/terminal.json
evidence_atom_id,doi:10.1007/s11306-023-02022-w,doi_1567b42f384d1b6b,analysis-window-004,2,ok,1,True,True,True,True,0,0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_1567b42f384d1b6b/analysis-window-004/repeat-02/terminal.json
evidence_atom_id,doi:10.1126/sciadv.adu2294,doi_3a71e49045b4f0b5,analysis-window-001,1,ok,1,True,True,True,True,3,7,7,4004a3770f7928ae506b4c932dcfe10fc7bddac664c0206900e9e6c7642e3ebf,7c8a1b12a7aa1ec71bef0641272597fa02a356d436f4e82d194ff3af1f68b840,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_3a71e49045b4f0b5/analysis-window-001/repeat-01/terminal.json
evidence_atom_id,doi:10.1126/sciadv.adu2294,doi_3a71e49045b4f0b5,analysis-window-001,2,ok,1,True,True,True,True,3,7,7,7ff667f5eac4acba3e4e524c165b044c5fa411a65fb927ce1c2218d2e33d981d,bd08c5e24309b58d6974917b0616b79936073b09b3ed84eb6f2588c70a227301,data/causal_extraction/e0_grounding/v0.1.0_run1/calls/evidence_atom_id/doi_3a71e49045b4f0b5/analysis-window-001/repeat-02/terminal.json
