record_id,arm,valid_five_runs,scope_all_tracked_exact,causal_role_required,causal_all_tracked_exact,causal_routing_fields_exact,all_tracked_fields_exact,decision_driving_fields_exact,single_repeat_route_exact,final_decision,final_exclusion_code,retry_success_count
doi:10.1002/cncr.29194,A0,True,False,False,True,True,False,False,True,seek_full_text,none,1
doi:10.1007/s00251-026-01409-y,A0,True,False,False,True,True,False,False,True,seek_full_text,none,1
doi:10.1007/s00335-026-10256-x,A0,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1007/s00592-026-02754-w,A0,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12107-z,A0,True,False,False,False,False,False,False,True,seek_full_text,none,0
doi:10.1007/s11033-026-12182-2,A0,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12250-7,A0,True,False,False,True,True,False,False,True,seek_full_text,none,0
doi:10.1007/s11427-025-3206-7,A0,True,True,False,True,True,True,True,True,exclude,EC3,1
doi:10.1007/s12015-026-11119-3,A0,True,False,False,True,True,False,False,True,seek_full_text,none,1
doi:10.1007/s12033-025-01416-6,A0,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1007/s13205-026-04966-x,A0,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1016/j.bbr.2026.116404,A0,True,False,False,True,True,False,False,True,seek_full_text,none,0
doi:10.1016/j.ccell.2024.09.002,A0,True,True,True,False,True,False,True,True,seek_full_text,none,0
doi:10.1016/j.cels.2022.06.006,A0,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1016/j.coi.2019.02.005,A0,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1016/j.ijbiomac.2025.149976,A0,True,True,True,False,True,False,True,True,seek_full_text,none,0
doi:10.1016/j.xcrm.2026.102797,A0,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1017/s1041610210001067,A0,True,False,False,True,True,False,False,False,seek_full_text,none,0
doi:10.1038/s41467-022-31085-x,A0,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1038/s41467-026-75605-5,A0,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1038/s41568-026-00935-x,A0,True,True,False,True,True,True,True,True,exclude,EC1,2
doi:10.1038/s41574-026-01265-6,A0,True,True,False,True,True,True,True,True,exclude,EC1,2
doi:10.1038/s41588-026-02639-2,A0,True,False,False,True,True,False,False,False,seek_full_text,none,1
doi:10.1038/s41593-022-01031-7,A0,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1038/s41598-017-15755-1,A0,True,False,False,True,True,False,False,True,seek_full_text,none,0
doi:10.1039/d5fo05425g,A0,True,False,False,True,True,False,False,False,seek_full_text,none,2
doi:10.1053/j.gastro.2024.12.031,A0,True,True,False,True,True,True,True,True,exclude,EC3,2
doi:10.1056/nejmoa2106516,A0,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1080/19490976.2023.2282790,A0,True,True,False,True,True,True,True,True,exclude,EC3,3
doi:10.1080/2162402x.2018.1490854,A0,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1080/29933935.2025.2605879,A0,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1093/hmg/ddu739,A0,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1093/nar/gks1155,A0,False,False,False,False,False,False,False,False,manual_review,none,0
doi:10.1093/qjmed/hcaf108,A0,True,True,True,True,True,True,True,True,seek_full_text,none,1
doi:10.1101/2023.07.04.547622,A0,True,True,True,False,False,False,False,True,seek_full_text,none,0
doi:10.1101/2025.09.18.677241,A0,True,True,False,False,False,True,True,True,exclude,EC4,0
