record_id,arm,valid_five_runs,scope_all_tracked_exact,causal_role_required,causal_all_tracked_exact,causal_routing_fields_exact,all_tracked_fields_exact,decision_driving_fields_exact,single_repeat_route_exact,final_decision,final_exclusion_code,retry_success_count
doi:10.1002/cncr.29194,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1007/s00251-026-01409-y,S+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s00335-026-10256-x,S+C,True,False,False,True,True,False,False,False,seek_full_text,none,1
doi:10.1007/s00592-026-02754-w,S+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12107-z,S+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12182-2,S+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s11033-026-12250-7,S+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1007/s11427-025-3206-7,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1007/s12015-026-11119-3,S+C,True,True,False,True,True,True,True,True,exclude,EC1,1
doi:10.1007/s12033-025-01416-6,S+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1007/s13205-026-04966-x,S+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1016/j.bbr.2026.116404,S+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1016/j.ccell.2024.09.002,S+C,True,True,True,True,True,True,True,True,seek_full_text,none,0
doi:10.1016/j.cels.2022.06.006,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1016/j.coi.2019.02.005,S+C,True,True,False,False,False,True,True,True,exclude,EC1,0
doi:10.1016/j.ijbiomac.2025.149976,S+C,True,True,True,True,True,True,True,True,seek_full_text,none,1
doi:10.1016/j.xcrm.2026.102797,S+C,True,False,False,False,False,False,False,False,seek_full_text,none,0
doi:10.1017/s1041610210001067,S+C,True,True,False,True,True,True,True,True,exclude,EC1,1
doi:10.1038/s41467-022-31085-x,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1038/s41467-026-75605-5,S+C,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1038/s41568-026-00935-x,S+C,True,True,False,True,True,True,True,True,exclude,EC1,0
doi:10.1038/s41574-026-01265-6,S+C,True,False,False,True,True,False,False,True,seek_full_text,none,0
doi:10.1038/s41588-026-02639-2,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1038/s41593-022-01031-7,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1038/s41598-017-15755-1,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
doi:10.1039/d5fo05425g,S+C,True,True,False,True,True,True,True,True,exclude,EC3,1
doi:10.1053/j.gastro.2024.12.031,S+C,True,True,False,True,True,True,True,True,exclude,EC3,1
doi:10.1056/nejmoa2106516,S+C,True,True,False,False,False,True,True,True,exclude,EC3,0
doi:10.1080/19490976.2023.2282790,S+C,True,True,False,True,True,True,True,True,exclude,EC3,0
